0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
218.0,178.0,0.111111,0.0,0.833333,0.547722,1.111109,0.544331,59.62963,52.444443,75.22222,51.22222,-21.555555,46.77778,-25.222221,75.22222,0.318996,-2.040554,5
113.0,130.0,0.0,0.0,0.277778,0.250924,0.333333,0.365148,0.888889,0.0,2.555556,0.111111,-2.666667,5.0,-2.333333,2.555556,1.0,-2.123254,2
202.0,41.0,0.0,0.0,0.944448,0.772202,1.111112,1.025597,123.03704,111.888885,139.77779,117.44444,-33.444443,50.22222,-16.777779,139.77779,0.199347,-2.299918,1
32.0,173.0,0.0,0.0,1.722222,1.781593,9.0,6.749488,43.592594,39.555557,52.88889,38.333336,-12.111111,27.88889,-15.777778,52.88889,0.266914,-1.998858,5
61.0,197.0,0.0,0.0,1.444444,1.515353,2.611111,1.925463,49.592594,44.22222,61.555557,43.0,-16.11111,35.88889,-19.777779,61.555557,0.302925,-2.022274,5
149.0,185.0,0.0,0.0,1.555555,1.068055,3.055555,1.925463,49.333332,45.333332,59.555557,43.11111,-12.0,30.666666,-18.666666,59.555557,0.275889,-1.95277,5
197.0,229.0,0.0,0.0,1.388889,1.574073,1.166666,0.566666,17.74074,14.111111,17.88889,21.222221,-10.888889,0.444444,10.444445,21.222221,0.335717,2.651605,6
29.0,111.0,0.0,0.0,0.388889,0.240741,0.611111,0.151852,5.407407,6.888889,6.333334,3.0,4.444445,2.777778,-7.222222,6.888889,0.564153,-0.897859,0
1.0,81.0,0.0,0.0,12.166667,267.45554,9.222222,205.36296,21.333334,14.0,30.555555,19.444445,-22.0,27.666666,-5.666667,30.555555,0.595282,-2.438409,2
69.0,85.0,0.111111,0.0,3.111111,8.207409,3.944444,9.440739,21.444445,20.444445,28.11111,15.777778,-3.0,20.0,-17.0,28.11111,0.437404,-1.659879,0
152.0,83.0,0.0,0.0,4.444444,1.327766,0.944444,0.680414,26.518518,23.333334,33.22222,23.0,-9.555555,20.11111,-10.555555,33.22222,0.307415,-2.063242,3
248.0,153.0,0.0,0.0,0.277778,0.062963,0.111111,0.02963,0.37037,0.0,1.111111,0.0,-1.111111,2.222222,-1.111111,1.111111,0.888889,-2.094395,4
137.0,141.0,0.0,0.0,0.055556,0.136083,0.055556,0.136083,0.037037,0.0,0.111111,0.0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.094395,4
86.0,197.0,0.111111,0.111111,1.611112,1.451691,1.277779,1.103865,63.22222,56.22222,77.77778,55.666668,-21.0,43.666668,-22.666666,77.77778,0.285333,-2.06802,5
220.0,220.0,0.111111,0.0,2.277778,1.12963,2.277778,4.151854,6.444445,5.666667,5.333334,8.333334,-2.333333,-3.333333,5.666667,8.333334,0.427354,1.984366,6
207.0,115.0,0.0,0.0,1.055556,0.32963,0.166667,0.033333,1.222222,0.444444,2.888889,0.333333,-2.333333,5.0,-2.666667,2.888889,0.933333,-2.065536,4
6.0,51.0,0.0,0.0,1.666667,1.999999,1.611111,2.107407,19.592592,18.777779,25.666666,14.333333,-2.444444,18.222221,-15.777778,25.666666,0.442861,-1.68129,0
203.0,182.0,0.0,0.0,3.722222,2.576964,3.611111,1.705112,54.925926,49.444443,68.111115,47.22222,-16.444445,39.555557,-23.11111,68.111115,0.306722,-1.980348,5
243.0,120.0,0.0,0.0,4.444445,4.359749,1.555555,1.833839,47.851852,44.77778,56.333332,42.444443,-9.222222,25.444445,-16.222221,56.333332,0.245321,-1.910735,3
146.0,97.0,0.0,0.0,10.111111,4.597905,0.611111,0.574133,47.962963,46.0,54.333332,43.555557,-5.888889,19.11111,-13.222222,54.333332,0.197115,-1.840735,3
184.0,145.0,0.0,0.0,0.722222,0.611616,0.222222,0.272166,0.555556,0.333333,1.222222,0.111111,-0.666667,2.0,-1.333333,1.222222,0.527778,-1.920944,4
178.0,128.0,0.0,0.0,0.444444,0.340741,0.888889,0.207408,5.925926,7.888889,6.444445,3.444444,5.888889,1.555556,-7.444445,7.888889,0.563713,-0.7213,0
132.0,134.0,0.0,0.0,2.666667,3.155556,1.5,1.544444,6.185185,2.222222,11.444445,4.888889,-11.888889,15.777778,-3.888889,11.444445,0.833935,-2.386612,2
