0,1,y
1.687,0.445,3
1.687,0.449,3
1.687,0.449,3
1.687,0.449,3
1.687,0.449,3
1.686,0.446,3
1.684,0.451,3
1.68,0.453,3
0.753,0.457,1
0.744,0.462,1
0.735,0.467,1
0.729,0.469,1
0.723,0.477,1
0.757,0.48,1
0.76,0.483,1
0.757,0.482,1
0.761,0.482,1
0.762,0.482,1
0.765,0.482,1
0.812,0.481,1
0.814,0.48,1
0.811,0.479,1
0.908,0.478,3
1.27,0.477,3
1.639,0.476,3
1.638,0.475,3
1.637,0.474,3
1.636,0.475,3
1.635,0.475,3
1.635,0.475,3
1.635,0.475,3
1.635,0.475,3
1.633,0.475,3
1.629,0.474,3
1.624,0.473,3
1.618,0.473,3
1.611,0.473,3
1.609,0.472,3
1.603,0.471,3
0.576,0.471,1
1.581,0.471,3
1.572,0.471,3
1.562,0.47,3
1.553,0.47,3
1.179,0.47,3
1.167,0.47,3
1.159,0.471,3
1.151,0.471,3
1.143,0.471,3
1.136,0.471,3
1.128,0.472,3
1.477,0.472,3
1.129,0.473,3
1.457,0.473,3
1.448,0.474,3
1.438,0.475,3
1.428,0.486,3
1.418,0.485,3
1.409,0.486,3
1.399,0.485,3
1.39,0.486,3
1.38,0.487,3
1.37,0.489,3
1.361,0.491,3
1.354,0.494,3
1.344,0.496,0
1.33,0.498,0
1.32,0.499,0
1.31,0.501,0
1.298,0.504,0
1.285,0.507,0
1.271,0.511,0
1.256,0.515,0
1.239,0.52,0
1.223,0.525,0
1.206,0.53,0
1.188,0.535,0
1.17,0.541,0
1.152,0.548,0
1.133,0.554,0
1.114,0.56,0
1.094,0.567,0
1.075,0.573,0
1.056,0.58,0
1.037,0.586,0
1.019,0.593,0
1.001,0.599,0
0.983,0.606,0
0.966,0.612,0
0.948,0.619,0
0.931,0.625,0
0.914,0.632,0
0.898,0.638,1
0.881,0.645,1
0.864,0.652,1
0.847,0.658,1
0.83,0.66,1
0.815,0.662,1
0.801,0.667,1
0.792,0.67,1
0.792,0.665,1
0.795,0.666,1
0.796,0.665,1
0.796,0.665,1
0.796,0.665,1
0.799,0.664,1
0.799,0.664,1
0.798,0.664,1
0.799,0.664,1
0.798,0.663,1
0.797,0.666,1
